time,x,y,z,roll,pitch,yaw,p,q,r,motor_1,motor_2,motor_3,motor_4,battery_voltage
0.130000,0.000671,0.000662,0.505314,-0.196834,0.732514,0.134283,0.014213,0.013790,0.020820,0.524995,0.564213,0.573615,0.543796,3.698700
0.132500,0.000529,0.000589,0.500980,0.264444,0.033322,0.118644,0.003166,-0.023061,0.013562,0.561507,0.544038,0.534912,0.525666,3.698675
0.135000,0.000635,0.000599,0.510060,1.265655,-0.683641,0.106530,0.015743,-0.020565,0.006289,0.595086,0.564960,0.577610,0.578880,3.698650
0.137500,0.000639,0.000593,0.505373,-0.060190,-0.143304,0.110880,0.002336,0.032218,0.012326,0.540181,0.531445,0.531560,0.546044,3.698625
0.140000,0.000746,0.000494,0.506844,0.544002,0.229546,0.117114,-0.035659,-0.018608,-0.001517,0.533202,0.566665,0.571635,0.502995,3.698600
0.142500,0.000780,0.000574,0.497213,-1.048639,0.448533,0.127422,-0.000268,0.012604,0.003809,0.543988,0.550542,0.547979,0.542427,3.698575
0.145000,0.000692,0.000461,0.506012,0.456268,-0.053512,0.129414,-0.010469,-0.003965,-0.000915,0.541286,0.528693,0.543414,0.559369,3.698550
0.147500,0.000762,0.000455,0.502653,-0.073182,-1.176151,0.120446,-0.042924,-0.028847,0.009456,0.534955,0.508813,0.543333,0.550081,3.698525
0.150000,0.000748,0.000392,0.498235,1.940115,-0.309385,0.112271,0.013734,0.011604,-0.004822,0.549894,0.567753,0.549135,0.559704,3.698500
0.152500,0.000651,0.000528,0.493871,0.494862,-0.185337,0.101422,0.003185,-0.051221,0.006054,0.558891,0.595944,0.517892,0.522462,3.698475
0.155000,0.000719,0.000582,0.497591,0.339083,-0.452692,0.107483,-0.022186,0.018901,0.003304,0.571242,0.577853,0.547079,0.542296,3.698450
0.157500,0.000839,0.000471,0.504160,0.631715,0.521642,0.105838,0.023385,-0.013408,-0.011005,0.549476,0.556946,0.539100,0.533504,3.698425
0.160000,0.000796,0.000476,0.498071,0.210065,0.827825,0.107099,-0.014194,-0.020382,0.000235,0.522964,0.534308,0.562829,0.548356,3.698400
0.162500,0.000860,0.000469,0.501166,0.461010,-0.323935,0.098818,-0.026446,0.012362,-0.002882,0.549474,0.508013,0.534327,0.543835,3.698375
0.165000,0.001013,0.000549,0.498600,-0.538956,-0.785167,0.087964,-0.045496,-0.007687,0.010733,0.529349,0.526609,0.529592,0.564747,3.698350
0.167500,0.000990,0.000591,0.489203,-0.374728,-0.340069,0.089975,-0.018171,0.013051,0.017132,0.567677,0.555128,0.514261,0.557391,3.698325
0.170000,0.000966,0.000653,0.491537,0.435279,1.066176,0.090376,0.014591,-0.033751,-0.005830,0.565300,0.588023,0.500915,0.539135,3.698300
0.172500,0.000982,0.000782,0.501292,0.510809,0.295895,0.092546,-0.030476,0.014375,0.011085,0.557767,0.557081,0.546142,0.563423,3.698275
0.175000,0.001161,0.000835,0.513105,-0.719888,0.540614,0.092717,0.021742,0.010778,0.003447,0.505543,0.537467,0.570964,0.568212,3.698250
0.177500,0.001067,0.000919,0.493497,0.515373,0.833329,0.092599,-0.007068,0.012740,-0.023389,0.557355,0.574711,0.578966,0.531579,3.698225
0.180000,0.001054,0.000971,0.503675,-0.411865,0.080699,0.091366,0.032156,0.005349,0.014357,0.538517,0.515453,0.581135,0.539341,3.698200
0.182500,0.000983,0.001044,0.498471,-0.168498,-0.128618,0.081556,-0.015699,-0.000714,-0.002505,0.564985,0.535323,0.589818,0.529088,3.698175
0.185000,0.001018,0.001191,0.500398,-0.370854,-0.551309,0.073918,-0.008026,-0.016096,-0.009283,0.521214,0.589211,0.528680,0.547944,3.698150
0.187500,0.001120,0.001181,0.495375,0.096707,0.166082,0.069521,-0.013049,-0.016462,0.001492,0.540575,0.558251,0.525970,0.567066,3.698125
0.190000,0.001160,0.001227,0.510486,-0.939894,0.596039,0.054491,0.024260,0.030162,-0.005306,0.554633,0.515945,0.563222,0.537755,3.698100
0.192500,0.001043,0.001154,0.502192,0.485031,-0.315751,0.064405,0.009719,0.002197,-0.010426,0.515182,0.537403,0.583646,0.564703,3.698075
0.195000,0.001070,0.001043,0.504734,-0.106229,0.168893,0.049696,0.011743,0.011255,-0.009618,0.587858,0.545029,0.541112,0.540022,3.698050
0.197500,0.001053,0.001038,0.499412,0.349017,-0.042397,0.045308,-0.010463,-0.011906,-0.002561,0.573887,0.553458,0.565350,0.560872,3.698025
0.200000,0.001022,0.000982,0.500956,-0.085492,0.344387,0.055329,-0.004329,-0.030402,0.002420,0.520791,0.530504,0.561949,0.531137,3.698000
0.202500,0.000972,0.000897,0.500537,0.402582,0.260968,0.050988,0.009315,0.004497,-0.004889,0.549272,0.546909,0.540484,0.556593,3.697975
0.205000,0.000941,0.001087,0.507610,-0.403406,0.303490,0.055991,0.013167,0.008247,-0.010845,0.569320,0.569704,0.555694,0.509695,3.697950
0.207500,0.000718,0.000937,0.501548,0.183147,-0.062919,0.059117,0.039654,0.021104,-0.006532,0.559344,0.575552,0.586168,0.534832,3.697925
0.210000,0.000814,0.001131,0.505783,-0.884685,-1.267752,0.061116,-0.017603,0.003698,0.017128,0.554265,0.507215,0.577021,0.527520,3.697900
0.212500,0.000865,0.001001,0.495803,-1.014439,-0.109628,0.056881,0.011463,-0.063808,0.006409,0.545413,0.564464,0.548716,0.543093,3.697875
0.215000,0.000816,0.000925,0.501266,0.192814,0.207112,0.037134,0.000288,0.010043,0.001074,0.538908,0.591250,0.546491,0.546991,3.697850
0.217500,0.000788,0.000957,0.509090,0.037609,0.665178,0.031965,0.006414,0.030819,-0.006505,0.543629,0.499849,0.531153,0.562141,3.697825
0.220000,0.000752,0.000927,0.492270,-0.009542,-0.505723,0.039337,-0.042908,0.004593,-0.001551,0.524240,0.559032,0.535409,0.558750,3.697800
0.222500,0.000829,0.001024,0.494038,-0.118889,0.068979,0.059052,-0.015304,0.001475,0.004007,0.565724,0.523059,0.568315,0.567070,3.697775
0.225000,0.000878,0.001027,0.489105,1.208496,-0.336306,0.064165,-0.035588,0.004038,-0.006376,0.562581,0.570456,0.546429,0.557552,3.697750
0.227500,0.000937,0.001102,0.492467,-0.216130,0.328368,0.075679,0.012817,0.010070,0.006120,0.572652,0.579017,0.529181,0.572368,3.697725
0.230000,0.000944,0.000962,0.500389,-0.236000,0.510158,0.073843,0.011530,0.014492,-0.002866,0.532742,0.530944,0.546013,0.557827,3.697700
0.232500,0.000909,0.001002,0.497649,-0.387345,0.402209,0.071047,0.000989,0.025984,0.016534,0.523513,0.537846,0.551253,0.539695,3.697675
0.235000,0.000906,0.001012,0.498835,-0.479795,-0.205994,0.062746,0.013648,0.001497,0.000488,0.562184,0.557087,0.568748,0.572897,3.697650
0.237500,0.001049,0.000924,0.503474,0.434709,-0.032928,0.070926,0.020049,-0.014541,-0.002376,0.547228,0.579598,0.533692,0.544776,3.697625
0.240000,0.001063,0.000953,0.495134,-0.629108,-0.160014,0.062932,0.018850,-0.006209,0.001214,0.545795,0.532271,0.542418,0.546643,3.697600
0.242500,0.001079,0.000882,0.505544,-0.862121,0.322240,0.065765,-0.037517,0.019575,-0.003129,0.543444,0.514084,0.576587,0.528757,3.697575
0.245000,0.001039,0.000752,0.500489,0.347917,-0.644558,0.076194,-0.016849,0.027384,0.011377,0.569917,0.551562,0.545813,0.561792,3.697550
0.247500,0.000963,0.000723,0.511188,0.500025,-0.510108,0.056970,0.017011,-0.001873,0.002267,0.572850,0.548046,0.521367,0.573910,3.697525
0.250000,0.000864,0.000741,0.502191,0.287036,-0.393904,0.073081,0.005287,0.002791,0.002675,0.557489,0.572611,0.505576,0.550568,3.697500
0.252500,0.000924,0.000842,0.502533,-0.207221,0.201022,0.066657,0.016882,-0.030011,0.000373,0.534941,0.559403,0.532071,0.529839,3.697475
0.255000,0.000864,0.000640,0.496662,-0.323055,-0.114963,0.069099,-0.010974,0.001624,0.004465,0.542561,0.532983,0.564649,0.569077,3.697450
0.257500,0.000893,0.000740,0.499984,-0.723888,-0.252721,0.071815,0.014974,-0.016786,-0.000628,0.569858,0.564280,0.566808,0.522086,3.697425
0.260000,0.001073,0.000643,0.500272,-0.567804,-0.821151,0.063079,0.002718,-0.001991,-0.006137,0.576873,0.532553,0.516534,0.561024,3.697400
0.262500,0.000908,0.000732,0.506774,-0.614267,-0.390581,0.066763,0.005450,0.044768,0.005373,0.524886,0.554168,0.581622,0.556266,3.697375
0.265000,0.000867,0.000813,0.500210,-0.573276,0.330547,0.070416,0.010654,0.015575,-0.011146,0.547942,0.535475,0.541315,0.566494,3.697350
0.267500,0.000851,0.000628,0.501624,-0.148717,0.382531,0.033628,-0.010307,0.000941,0.021559,0.558426,0.532686,0.542766,0.547034,3.697325
0.270000,0.001132,0.000659,0.504563,-0.324605,0.320599,0.025183,0.008672,-0.001579,-0.004619,0.535505,0.512378,0.555980,0.521258,3.697300
0.272500,0.001150,0.000651,0.498335,0.448199,-0.330825,0.046051,0.014293,0.008154,-0.016943,0.538591,0.553706,0.568276,0.528307,3.697275
0.275000,0.001138,0.000678,0.497412,-0.667866,-0.224137,0.045399,0.019475,0.002780,0.012196,0.535780,0.554753,0.561238,0.563148,3.697250
0.277500,0.001076,0.000676,0.499451,-0.545173,0.466549,0.054458,-0.006506,0.019687,0.011454,0.528408,0.525004,0.590325,0.527360,3.697225
0.280000,0.001243,0.000678,0.497763,-0.121400,-0.144943,0.067170,0.017860,0.028172,-0.006698,0.555452,0.538590,0.545820,0.553316,3.697200
0.282500,0.001163,0.000824,0.494626,0.568324,-0.414466,0.078839,0.019078,0.006429,-0.001120,0.589289,0.556106,0.533631,0.540377,3.697175
0.285000,0.000984,0.000608,0.499549,-0.615989,-0.091707,0.080400,-0.019888,0.007557,-0.004253,0.582859,0.553892,0.530183,0.563718,3.697150
0.287500,0.001069,0.000612,0.502856,0.142425,-0.794353,0.071004,0.017771,-0.003074,0.006034,0.528732,0.572593,0.523249,0.555224,3.697125
0.290000,0.001024,0.000764,0.491411,0.190163,-0.277607,0.057626,-0.024760,0.002698,-0.005572,0.576927,0.541192,0.563799,0.548261,3.697100
0.292500,0.001072,0.000863,0.501455,-0.339878,-0.813901,0.046275,0.016154,-0.021024,-0.012107,0.558354,0.550261,0.587104,0.510819,3.697075
0.295000,0.001304,0.000899,0.502924,-0.061078,0.203235,0.046131,0.006284,-0.021566,0.021343,0.562034,0.558637,0.531737,0.568222,3.697050
0.297500,0.001324,0.000869,0.511180,0.991767,-0.277511,0.059418,-0.011071,-0.041777,-0.005182,0.522413,0.525214,0.590228,0.545054,3.697025
0.300000,0.001354,0.000916,0.502761,0.327264,-0.297322,0.081050,0.007026,-0.028155,-0.007790,0.532156,0.533325,0.543123,0.528844,3.697000
0.302500,0.001541,0.000913,0.494729,-0.666647,0.844878,0.088250,0.005836,-0.003349,-0.012732,0.539500,0.554868,0.564045,0.524105,3.696975
0.305000,0.001369,0.000811,0.497670,-1.021122,-0.522932,0.084513,-0.011248,-0.011165,0.008025,0.553256,0.549123,0.530689,0.548575,3.696950
0.307500,0.001392,0.000823,0.486359,-1.165642,0.389329,0.078159,0.006621,-0.006166,0.000591,0.562315,0.557610,0.552102,0.583116,3.696925
0.310000,0.001482,0.000876,0.499300,-0.063663,-0.748727,0.075224,-0.010431,-0.013015,0.002458,0.555266,0.510627,0.573331,0.549840,3.696900
0.312500,0.001665,0.001083,0.507291,-0.387995,0.136655,0.068803,-0.057619,0.003347,0.017958,0.572857,0.581677,0.572883,0.548767,3.696875
0.315000,0.001425,0.000974,0.498989,-0.169820,0.204325,0.066024,-0.012517,-0.020611,-0.003822,0.551811,0.525610,0.544447,0.572513,3.696850
0.317500,0.001499,0.001050,0.495829,0.068019,-0.368567,0.066717,-0.011525,0.022891,-0.006065,0.527328,0.507030,0.584831,0.522012,3.696825
0.320000,0.001508,0.001070,0.492800,0.198786,-0.349506,0.059631,0.034211,-0.012936,0.003568,0.586723,0.547908,0.551903,0.535520,3.696800
0.322500,0.001460,0.001095,0.503646,0.168527,0.018014,0.054450,-0.000264,0.041768,-0.016591,0.536463,0.549441,0.516070,0.543880,3.696775
0.325000,0.001555,0.000799,0.495887,-0.632590,-0.171955,0.057496,0.009686,-0.031771,0.000983,0.560490,0.548964,0.531543,0.521664,3.696750
0.327500,0.001510,0.000792,0.503267,0.074575,-0.306587,0.056114,-0.005363,0.003014,-0.006541,0.531558,0.542299,0.550008,0.564994,3.696725
0.330000,0.001541,0.000880,0.496765,-0.151424,0.125336,0.040879,-0.015865,-0.010829,0.005787,0.588222,0.558287,0.553205,0.578166,3.696700
0.332500,0.001474,0.000931,0.494550,0.258470,-0.512548,0.036490,-0.016017,-0.006007,-0.012463,0.562738,0.578681,0.557673,0.544122,3.696675
0.335000,0.001517,0.000937,0.506844,-0.106294,-0.941475,0.037977,-0.006240,0.009235,-0.005167,0.566517,0.516749,0.573927,0.541403,3.696650
0.337500,0.001530,0.000889,0.496643,-0.391891,-0.057430,0.027783,-0.004144,0.001837,-0.020591,0.518733,0.554648,0.526070,0.533492,3.696625
0.340000,0.001557,0.001076,0.504478,-0.535980,0.645204,0.026658,-0.010421,0.024787,0.001999,0.558456,0.563985,0.529920,0.548937,3.696600
0.342500,0.001432,0.001135,0.498155,0.202596,-0.682128,0.041736,-0.012126,0.030896,0.004214,0.552147,0.532740,0.558548,0.553305,3.696575
0.345000,0.001485,0.001172,0.495702,-1.166047,-0.794659,0.043815,-0.030688,0.013126,-0.008211,0.554118,0.535199,0.579201,0.565593,3.696550
0.347500,0.001528,0.001216,0.510141,-0.470865,-0.348840,0.029184,0.018603,0.013488,-0.011355,0.517960,0.526393,0.565841,0.556189,3.696525
0.350000,0.001655,0.001232,0.505720,0.037954,0.583017,0.034339,0.005309,0.022545,0.012623,0.510973,0.549696,0.569470,0.559480,3.696500
0.352500,0.001606,0.001251,0.501945,0.638598,0.365490,0.034810,-0.032860,0.046536,-0.007009,0.543674,0.544369,0.538470,0.582234,3.696475
0.355000,0.001392,0.001301,0.502438,0.331373,0.352681,0.029242,0.000696,0.018507,0.000058,0.584689,0.536120,0.586861,0.586065,3.696450
0.357500,0.001523,0.001123,0.504099,-0.065205,0.286788,0.039886,-0.006966,0.001409,0.008449,0.520772,0.528834,0.536613,0.562083,3.696425
0.360000,0.001498,0.001097,0.493720,0.131286,-0.018978,0.053865,0.011905,0.002951,-0.002984,0.537229,0.558649,0.567655,0.550266,3.696400
0.362500,0.001625,0.001068,0.495750,-0.024883,0.468576,0.045941,-0.039116,-0.012456,0.010527,0.541823,0.550505,0.537932,0.564351,3.696375
0.365000,0.001557,0.001031,0.506935,-0.088285,0.945351,0.035487,-0.034011,0.022192,0.003894,0.518412,0.586069,0.564641,0.553657,3.696350
0.367500,0.001418,0.001127,0.502813,0.583990,0.799381,0.003627,-0.013353,-0.008281,-0.006569,0.551107,0.527185,0.570694,0.548441,3.696325
0.370000,0.001252,0.001364,0.507828,0.325058,-0.235985,0.007946,0.030321,-0.000496,-0.008331,0.562446,0.537675,0.556670,0.541511,3.696300
0.372500,0.001307,0.001237,0.498102,-0.979233,0.331893,0.019704,0.007411,-0.023163,-0.009230,0.538720,0.595587,0.525882,0.539793,3.696275
0.375000,0.001174,0.001147,0.498453,-0.090481,0.160638,-0.000996,0.006629,-0.025811,0.001077,0.544318,0.556015,0.526975,0.560246,3.696250
0.377500,0.001109,0.001139,0.495805,-0.159399,0.037790,-0.001845,0.009150,0.000996,0.015535,0.552591,0.542927,0.572150,0.568969,3.696225
0.380000,0.001169,0.001063,0.503169,-0.439244,0.000921,0.007418,-0.001951,0.006772,-0.017032,0.571167,0.557749,0.520968,0.565425,3.696200
0.382500,0.001152,0.001292,0.497704,-0.680819,0.256891,0.000234,-0.007414,-0.024786,-0.005648,0.546909,0.522238,0.544043,0.563011,3.696175
0.385000,0.001003,0.001286,0.505313,0.129363,0.173782,0.014411,-0.024930,0.007689,0.001894,0.540201,0.573593,0.562564,0.568698,3.696150
0.387500,0.000906,0.001174,0.498238,0.230900,0.429592,0.021610,0.002070,-0.052140,-0.006396,0.490398,0.592028,0.577501,0.565313,3.696125
0.390000,0.000922,0.001249,0.504437,-0.316894,1.301347,0.011792,0.018140,-0.022582,-0.006025,0.543144,0.551421,0.548462,0.530586,3.696100
0.392500,0.000875,0.001241,0.505010,-0.708500,-0.906517,-0.006525,-0.040115,0.003525,-0.000949,0.558708,0.545931,0.537063,0.520454,3.696075
0.395000,0.001041,0.001228,0.508068,0.782046,-0.889513,-0.016818,-0.003345,0.007183,-0.009150,0.561463,0.532345,0.585755,0.558690,3.696050
0.397500,0.001048,0.001209,0.513260,0.412767,-0.029900,-0.023337,0.013521,-0.005486,-0.007685,0.575453,0.551122,0.542238,0.561352,3.696025
0.400000,0.001066,0.001209,0.497484,0.305914,-0.719860,-0.032916,0.000692,0.038608,-0.002145,0.548260,0.532816,0.539435,0.518923,3.696000
0.402500,0.001048,0.001103,0.503295,0.752623,0.434726,-0.028859,0.005925,0.031541,-0.017554,0.523004,0.536523,0.569560,0.524328,3.695975
0.405000,0.001154,0.001012,0.491572,0.066717,-0.545695,-0.040028,-0.024909,0.015312,-0.008022,0.553447,0.562700,0.552174,0.505710,3.695950
0.407500,0.001105,0.000786,0.503376,0.599697,-0.027252,-0.048745,0.001777,0.001965,0.001187,0.583582,0.589186,0.555359,0.569693,3.695925
0.410000,0.001001,0.001107,0.497271,0.084034,-0.404503,-0.048179,0.042579,0.004227,-0.003021,0.547122,0.567978,0.569187,0.560037,3.695900
0.412500,0.000964,0.001062,0.498997,-0.528665,-0.441622,-0.043463,0.028942,-0.025055,-0.007968,0.524370,0.555393,0.528920,0.547962,3.695875
0.415000,0.001011,0.001002,0.506784,0.514028,-0.071037,-0.043841,-0.017353,-0.011513,-0.003684,0.537171,0.556394,0.523802,0.516180,3.695850
0.417500,0.000960,0.000957,0.505097,-0.683515,0.677549,-0.049089,0.021179,-0.023515,0.004617,0.583395,0.586574,0.581872,0.548435,3.695825
0.420000,0.000961,0.000919,0.503128,0.184515,0.057448,-0.031620,0.012124,-0.015283,0.002786,0.571782,0.549007,0.563749,0.576166,3.695800
0.422500,0.001030,0.001091,0.496029,-0.870929,-0.449977,-0.040989,0.026782,0.055144,0.000770,0.551476,0.575042,0.528488,0.554852,3.695775
0.425000,0.001218,0.000877,0.498407,1.013588,-0.091908,-0.042762,-0.033142,-0.005382,-0.001316,0.535869,0.545617,0.551815,0.577966,3.695750
0.427500,0.001163,0.000783,0.499066,0.088106,-0.399627,-0.052133,-0.022662,0.042637,-0.002296,0.587735,0.575959,0.543923,0.550057,3.695725
0.430000,0.001288,0.000788,0.504921,-0.490294,0.429995,-0.056610,0.023343,-0.002558,-0.014616,0.541127,0.534098,0.563675,0.593267,3.695700
0.432500,0.001147,0.000904,0.498844,0.223622,0.529520,-0.056393,0.013725,0.026191,0.004807,0.526759,0.508058,0.541425,0.549622,3.695675
0.435000,0.001235,0.000795,0.504646,0.376181,0.278986,-0.076063,-0.016977,0.016060,-0.002710,0.571934,0.524608,0.568861,0.577089,3.695650
0.437500,0.001266,0.000725,0.493415,-0.392804,0.670213,-0.092199,-0.006691,-0.010464,-0.005383,0.547018,0.570922,0.580712,0.568643,3.695625
0.440000,0.001180,0.000662,0.505376,0.064241,0.541800,-0.070749,0.022774,-0.012291,0.001602,0.535502,0.536366,0.586131,0.582312,3.695600
0.442500,0.001336,0.000700,0.496515,-0.198084,0.117751,-0.056428,-0.023599,0.020288,0.017371,0.562307,0.518584,0.510925,0.543954,3.695575
