time,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,baro_alt,tof_range
0.127500,0.001554,0.000760,0.004293,-0.035931,-0.005748,-9.819972,0.090271,0.017168
0.130000,-0.003541,0.004873,0.000042,-0.010137,0.026663,-9.791269,0.171691,-0.013456
0.132500,-0.000765,0.000980,-0.001213,-0.018998,0.015777,-9.805000,-0.136113,0.003060
0.135000,-0.001133,0.002883,0.002100,0.008833,-0.028798,-9.841284,-0.131141,-0.010876
0.137500,-0.001544,-0.003952,0.001447,-0.006968,-0.014170,-9.790481,-0.060641,-0.005360
0.140000,-0.000656,-0.001943,-0.002392,-0.030128,-0.050352,-9.793397,-0.276668,-0.001251
0.142500,0.003663,0.006855,0.000032,0.035948,0.031817,-9.806506,0.020748,-0.009873
0.145000,-0.002097,0.001873,-0.004394,0.004202,-0.011484,-9.801501,0.058089,0.018704
0.147500,0.002379,-0.000686,-0.000062,0.023289,0.051304,-9.826503,-0.080597,-0.001806
0.150000,-0.004090,0.002343,0.000786,-0.025847,-0.010808,-9.771010,-0.257111,-0.001192
0.152500,-0.000800,-0.000820,0.001113,-0.009279,-0.004859,-9.840972,-0.085074,-0.000828
0.155000,0.000414,0.001059,-0.002418,0.023579,0.013369,-9.807791,0.145077,0.011183
0.157500,0.001448,-0.001794,-0.001781,-0.017699,0.041817,-9.806141,0.086609,-0.011345
0.160000,0.001753,-0.000175,0.000625,-0.000120,0.045569,-9.815650,-0.006309,-0.001075
0.162500,0.001954,0.000734,0.003073,-0.001545,-0.000027,-9.805083,-0.013225,0.014572
0.165000,-0.000833,0.004484,0.000246,-0.055766,-0.002103,-9.829992,-0.039253,-0.008460
0.167500,-0.001110,0.002882,-0.001340,-0.001623,-0.014177,-9.819860,0.091530,0.008852
0.170000,0.002112,0.003308,0.002390,-0.009885,0.043881,-9.829512,0.081604,-0.001705
0.172500,-0.000448,0.001687,0.000338,-0.003915,0.015771,-9.810891,-0.152316,0.011644
0.175000,-0.003093,0.003758,0.000459,-0.016980,-0.014735,-9.773136,-0.031725,0.014652
0.177500,-0.002746,-0.000381,0.001970,-0.030418,0.022145,-9.794281,-0.051435,-0.006442
0.180000,-0.002224,-0.000038,-0.000211,-0.019199,0.015708,-9.836524,0.124146,-0.003026
0.182500,0.001233,0.002744,-0.002253,-0.012432,-0.016337,-9.812675,0.118859,-0.017447
0.185000,0.000368,0.001069,-0.000353,0.014324,-0.012455,-9.807305,-0.088878,-0.007786
0.187500,0.001705,0.001716,0.002738,-0.013212,-0.027748,-9.822313,0.056322,-0.005166
0.190000,-0.001022,0.001349,0.004643,0.002594,0.027017,-9.817378,0.072770,-0.010724
0.192500,0.000408,0.004808,-0.002948,0.004747,-0.012937,-9.776130,-0.011509,0.001913
0.195000,0.001548,0.004935,0.004021,-0.012765,-0.028772,-9.846653,0.004015,-0.009744
0.197500,-0.000733,0.000222,-0.000869,0.022925,0.034633,-9.796640,0.148286,0.002019
0.200000,0.001137,-0.002544,0.000076,-0.008851,0.007427,-9.849450,-0.056593,-0.013862
0.202500,-0.001593,0.000014,0.004174,-0.013242,-0.050998,-9.799698,0.133123,0.000330
0.205000,-0.000863,-0.000439,-0.000973,0.026075,0.016564,-9.826990,0.119822,0.008859
0.207500,-0.000909,0.003779,-0.000642,0.003233,-0.046172,-9.791489,0.026005,-0.004717
0.210000,-0.002895,0.003996,-0.001541,-0.056445,-0.019533,-9.760304,-0.090515,-0.021580
0.212500,0.001212,-0.000766,0.000120,-0.062748,0.010293,-9.807918,0.055744,0.004297
0.215000,-0.001122,-0.000091,0.000789,0.037605,0.009599,-9.775157,0.031243,0.007527
0.217500,0.000054,-0.001859,-0.001648,0.001956,-0.018404,-9.790307,-0.184131,-0.000622
0.220000,0.001197,0.002078,0.003568,-0.004103,-0.031695,-9.795797,0.065265,-0.011135
0.222500,0.001114,0.001640,-0.001794,-0.052357,0.042148,-9.831387,-0.073630,0.010048
0.225000,0.001648,0.003675,0.001246,-0.003452,0.034956,-9.780452,0.053975,0.001449
0.227500,-0.000215,0.002963,0.000095,-0.024890,-0.007195,-9.796585,0.149638,0.005056
0.230000,-0.001008,0.003239,0.003065,-0.007448,-0.001664,-9.831222,-0.203127,0.006398
0.232500,-0.000169,-0.002013,-0.001931,-0.017190,-0.017713,-9.828330,-0.118520,-0.000726
0.235000,-0.004091,0.000222,0.001428,-0.006834,-0.007438,-9.819740,-0.134652,-0.001654
0.237500,-0.003505,0.004065,0.005939,0.004568,-0.000493,-9.827120,-0.109583,-0.010891
0.240000,-0.003201,0.000436,-0.003486,0.008798,0.017403,-9.809945,0.013475,-0.004607
0.242500,-0.002407,-0.002221,-0.002165,-0.001542,-0.040403,-9.793056,-0.048514,-0.004174
0.245000,0.001002,0.003721,0.005117,0.002516,0.008936,-9.811932,-0.171857,-0.007069
0.247500,-0.002182,0.000341,-0.000295,-0.042113,0.035936,-9.801509,-0.182291,0.004511
0.250000,-0.000895,0.004343,0.000310,-0.001981,-0.009054,-9.836003,-0.272162,-0.001801
0.252500,0.003198,0.001705,-0.000777,0.004883,-0.024358,-9.782050,0.065310,-0.004465
0.255000,-0.000841,0.001073,0.004070,-0.001871,0.025062,-9.785880,-0.080903,0.003928
0.257500,0.001828,0.005076,-0.003903,0.035066,-0.026874,-9.757176,-0.143770,0.001114
0.260000,-0.002249,-0.001429,0.003053,-0.006236,-0.032040,-9.831179,-0.085351,0.016245
0.262500,-0.000472,0.005249,-0.003570,-0.031254,-0.044363,-9.833881,-0.005658,0.011751
0.265000,-0.002289,0.000190,-0.003788,-0.000011,0.010854,-9.837748,-0.068354,-0.009743
0.267500,-0.000798,0.002146,-0.002617,-0.013553,-0.030927,-9.777660,0.091667,0.003869
0.270000,0.002080,0.002169,-0.000276,-0.040707,-0.041072,-9.839753,0.032724,0.005146
0.272500,-0.004185,0.000708,-0.001707,-0.007188,0.002268,-9.817070,-0.037481,0.011585
0.275000,0.001090,-0.000110,-0.001851,0.034830,-0.026549,-9.843893,-0.131591,-0.009737
0.277500,0.000611,0.000847,-0.002227,-0.008706,0.013128,-9.804841,0.114078,0.001669
0.280000,-0.001419,-0.000726,-0.002184,0.025565,0.011026,-9.801410,0.072063,-0.003253
0.282500,-0.003497,0.006537,-0.002239,0.016935,0.000742,-9.795691,-0.228762,-0.011811
0.285000,0.000207,0.000576,0.000611,0.055858,-0.019572,-9.808957,0.090965,0.009978
0.287500,-0.001260,0.004578,-0.001514,0.010712,0.017988,-9.833645,0.055847,0.009016
0.290000,0.000600,0.004256,-0.006465,0.001804,-0.034805,-9.794658,0.047223,0.004087
0.292500,0.000085,0.002635,-0.000052,0.002110,0.025969,-9.805192,0.074528,-0.001549
0.295000,0.003941,0.001419,0.001868,0.006572,-0.006694,-9.805503,0.026478,0.000825
0.297500,-0.000551,0.002223,-0.000641,-0.006134,-0.003403,-9.827437,0.161598,-0.005068
0.300000,-0.002464,0.003146,-0.003037,-0.011999,0.007611,-9.797183,-0.027433,-0.009161
0.302500,0.000471,0.001995,0.001858,0.010881,0.029448,-9.787011,-0.335925,-0.014711
0.305000,0.000570,-0.002073,-0.003309,-0.014930,0.006131,-9.826372,0.050430,0.002161
0.307500,0.003350,-0.002687,-0.000743,-0.044059,-0.011791,-9.838470,0.104464,0.000132
0.310000,0.002072,0.005432,-0.000012,-0.030923,0.012809,-9.789005,-0.002052,0.004911
0.312500,0.000905,-0.004679,0.002674,0.038866,0.025799,-9.849048,-0.069547,-0.007831
0.315000,0.003605,0.002227,0.001451,-0.007529,0.023246,-9.830348,0.109227,-0.021624
0.317500,-0.002866,0.001176,0.000624,0.018132,0.004123,-9.824664,0.025358,-0.000222
0.320000,-0.001526,0.002142,0.002313,-0.016468,0.004763,-9.826862,-0.221417,0.006117
0.322500,-0.002225,-0.001032,-0.002783,0.020986,0.008549,-9.789336,-0.040446,-0.019229
0.325000,-0.000915,0.002605,0.003898,0.009495,0.019339,-9.779391,-0.140197,-0.016174
0.327500,-0.003323,0.002252,-0.007435,0.046989,-0.003813,-9.782989,0.005052,-0.007683
0.330000,0.001586,0.008487,0.003527,0.031072,0.003492,-9.828763,-0.104047,-0.011004
0.332500,-0.000506,0.002067,-0.002009,0.017362,0.002811,-9.771453,0.175573,0.010753
0.335000,-0.003552,0.005039,0.000972,-0.013894,-0.033688,-9.836956,-0.218709,0.013324
0.337500,-0.002441,-0.001907,0.003579,-0.027748,-0.015111,-9.800871,0.240147,0.001609
0.340000,0.000802,0.004239,0.001414,-0.003310,0.023259,-9.802270,0.256085,0.004429
0.342500,0.002083,0.002302,0.000954,0.000449,0.046086,-9.770887,-0.079471,0.001999
0.345000,0.004910,0.002408,0.002159,-0.009651,0.001459,-9.794767,-0.077772,-0.008074
0.347500,0.007148,0.002442,-0.003565,0.016641,-0.003064,-9.766773,0.073805,0.009563
0.350000,0.001050,0.005913,-0.003199,0.001829,-0.013216,-9.827179,0.138916,0.008137
0.352500,-0.002376,0.002372,0.000709,-0.000057,-0.057201,-9.786446,-0.100759,0.006205
0.355000,-0.005163,-0.000164,-0.000435,0.035969,0.036573,-9.779761,-0.056757,0.005309
0.357500,0.000693,0.000247,-0.000716,0.002470,-0.018741,-9.793786,0.170648,-0.010770
0.360000,-0.001944,0.003744,0.003069,-0.031984,-0.039391,-9.826064,0.072492,0.000835
0.362500,-0.000974,0.002842,0.002857,0.024165,0.006965,-9.813061,-0.019146,0.000061
0.365000,-0.001453,-0.001985,-0.002198,0.004944,-0.000189,-9.791780,-0.027221,0.002479
0.367500,-0.000303,0.003005,0.001128,-0.006431,0.050320,-9.788436,0.193083,-0.002499
0.370000,0.002642,-0.000891,-0.003768,-0.022561,0.011440,-9.829206,-0.030973,-0.008914
0.372500,0.000424,0.002819,-0.003826,0.029764,0.037421,-9.833448,-0.093746,-0.017400
0.375000,-0.000346,-0.000216,-0.002129,0.039891,0.016917,-9.776605,0.028547,0.004510
0.377500,-0.002485,0.001063,-0.000079,-0.015869,-0.014083,-9.783297,0.074539,-0.016331
0.380000,-0.004044,0.000420,-0.001543,0.007023,0.059377,-9.776345,-0.110836,-0.010480
0.382500,-0.001145,0.005456,0.001151,0.010360,0.038494,-9.763297,0.020142,0.006524
0.385000,-0.000089,0.002730,0.000013,-0.041148,0.013652,-9.802863,-0.005786,0.003004
0.387500,0.004356,0.004827,0.002769,-0.001031,0.026424,-9.843198,0.047400,0.003473
0.390000,0.000361,0.008814,0.001383,-0.041092,0.008401,-9.772290,0.130890,0.008262
0.392500,0.002441,0.001864,-0.002482,-0.000431,0.005613,-9.809791,0.031243,0.016981
0.395000,-0.001175,0.005415,0.002250,0.053407,0.011724,-9.765851,0.093114,0.006441
0.397500,-0.002848,0.000043,-0.002051,-0.034200,0.049866,-9.826048,-0.079859,-0.007149
0.400000,-0.002311,0.004812,0.001057,0.044280,0.029313,-9.783646,0.012121,0.006912
0.402500,-0.001725,-0.000221,-0.001148,0.041923,0.000027,-9.831269,-0.112720,-0.000886
0.405000,0.005238,0.001705,0.003284,-0.000132,0.005503,-9.771357,-0.125659,-0.010725
0.407500,-0.001959,0.003060,0.001838,0.012158,-0.036859,-9.842945,0.085783,0.018411
0.410000,0.002091,0.003444,-0.001636,-0.006689,0.003488,-9.804904,-0.009540,0.007086
0.412500,-0.002158,-0.001355,-0.000887,-0.010553,0.014866,-9.809120,0.062327,-0.012655
0.415000,0.002319,-0.000366,0.008032,0.004799,0.009929,-9.821815,-0.026865,0.005794
0.417500,0.000985,0.003242,-0.003022,-0.018284,0.004985,-9.806882,-0.101361,0.005364
0.420000,-0.000336,0.000852,-0.001701,0.011165,-0.015548,-9.824130,0.249694,-0.003043
0.422500,-0.000053,-0.001660,-0.001582,0.000979,0.021539,-9.813561,-0.102788,-0.007504
0.425000,-0.001551,0.001576,-0.002772,-0.025189,0.024241,-9.803163,-0.037494,0.003522
0.427500,0.001135,0.001459,-0.002515,0.016745,0.002111,-9.826803,0.238818,-0.019756
0.430000,-0.001063,0.002181,-0.000208,0.017363,0.002168,-9.809119,-0.023144,0.016731
0.432500,-0.002943,0.003041,0.001220,0.026503,-0.000475,-9.789741,-0.032944,-0.029264
0.435000,-0.003070,0.002886,-0.003830,-0.011321,0.007533,-9.827685,-0.033630,0.005797
0.437500,0.000469,-0.000125,-0.001166,0.024283,0.012580,-9.804472,-0.202502,-0.006824
0.440000,0.003901,0.000747,-0.001904,0.051134,-0.038999,-9.832342,-0.091468,-0.008178
0.442500,0.000439,0.004013,-0.002798,0.000700,-0.011051,-9.768216,0.083612,-0.003114
0.445000,-0.000241,0.000424,0.002488,0.002801,-0.030034,-9.796932,-0.074108,-0.000947
0.447500,0.000747,0.000786,-0.001808,0.016017,-0.012851,-9.838087,-0.235695,0.012856
0.450000,0.003236,-0.001921,-0.003283,-0.051110,0.028878,-9.763258,-0.153880,-0.004281
0.452500,0.000585,0.001680,0.002207,-0.032240,-0.023415,-9.798111,0.055760,0.021198
0.455000,-0.000953,0.002592,0.003113,-0.012997,-0.037677,-9.827270,-0.017947,0.003577
0.457500,0.002750,-0.003071,0.000640,-0.008049,-0.031450,-9.748937,0.239292,0.002904
0.460000,0.001097,-0.000862,-0.002235,0.002648,0.006320,-9.810307,-0.156520,-0.001800
0.462500,0.003798,-0.001719,-0.000616,0.006307,0.016867,-9.844679,0.000499,-0.011785
0.465000,0.000498,0.003673,-0.001537,-0.032403,0.000527,-9.777396,-0.061625,-0.005925
0.467500,-0.002936,-0.002917,-0.000059,0.027193,-0.049296,-9.799553,-0.026595,0.008889
0.470000,-0.003287,0.001558,0.001809,0.007862,-0.016800,-9.774460,-0.170119,-0.000575
0.472500,0.004080,0.003501,0.000001,0.001411,0.038620,-9.803599,-0.098033,-0.002024
0.475000,0.004258,0.002208,0.000054,0.011577,0.002258,-9.823271,0.124274,0.006445
0.477500,-0.000386,0.000676,-0.001189,-0.014522,-0.049253,-9.834866,-0.028951,-0.004661
0.480000,-0.000882,0.002595,0.001686,-0.005629,-0.019524,-9.824980,0.124459,-0.021572
0.482500,0.003619,0.004280,0.000962,-0.025551,-0.049217,-9.823096,-0.041034,-0.007860
0.485000,-0.002648,0.001487,-0.004421,-0.052015,-0.011510,-9.844736,0.050858,0.000309
0.487500,-0.002130,-0.003714,-0.004283,-0.005579,0.002661,-9.824770,-0.056548,0.000475
0.490000,0.001624,0.004550,-0.000745,0.040701,-0.003843,-9.810948,-0.024448,-0.012384
0.492500,-0.000909,0.002726,0.002433,-0.013421,-0.009295,-9.813720,-0.109741,0.009740
0.495000,0.000042,0.001669,0.002912,-0.036738,0.049177,-9.882473,0.011523,0.004822
0.497500,-0.000344,-0.003083,0.001927,0.013328,0.005204,-9.832880,0.193600,0.007396
0.500000,0.000879,0.001022,-0.000302,-0.011298,-0.008355,-9.810658,0.017203,-0.006975
0.502500,0.003489,-0.000387,0.003641,0.010322,0.018282,-9.822794,0.175584,0.013742
0.505000,0.000277,-0.001218,-0.001696,0.015595,0.018459,-9.794486,0.070581,0.006050
0.507500,0.001627,0.001416,-0.000765,-0.011954,0.009717,-9.820508,0.012575,-0.004769
0.510000,-0.004946,0.000442,-0.003400,0.009789,0.064712,-9.809434,-0.118229,0.004388
0.512500,-0.000063,0.000602,-0.000775,-0.000837,-0.017667,-9.797703,-0.052667,0.008261
0.515000,-0.002001,0.003554,-0.002035,-0.046442,0.029858,-9.783864,0.095757,0.016716
0.517500,-0.002917,0.002373,0.003821,-0.012380,0.027546,-9.805364,-0.145504,0.000057
0.520000,-0.002086,0.000540,0.003341,-0.019582,-0.034310,-9.847892,-0.035425,0.008773
0.522500,-0.000758,0.000231,0.000223,-0.035592,0.012937,-9.774134,0.073945,0.009679
0.525000,0.002293,0.000640,0.001209,-0.019996,-0.022673,-9.783259,0.021126,0.000326
0.527500,-0.003178,0.001146,-0.001405,0.015840,0.001876,-9.830931,0.319576,0.006926
0.530000,0.000133,0.003174,-0.006120,0.000331,0.029340,-9.800586,0.064900,0.011458
0.532500,-0.001123,-0.000794,-0.001790,-0.043795,0.003362,-9.828788,0.002161,-0.012972
0.535000,-0.000741,0.005308,0.001896,-0.026217,-0.051679,-9.819014,-0.059471,0.008023
0.537500,0.002506,0.003176,0.001140,0.000358,0.018706,-9.790080,-0.060791,0.006747
0.540000,0.001372,-0.004931,-0.000885,-0.000070,-0.037048,-9.802151,-0.050695,-0.003644
0.542500,0.003323,0.001958,0.001876,-0.007562,-0.011176,-9.799019,0.041607,0.021468
0.545000,-0.000317,0.004289,-0.001077,0.017780,0.029160,-9.796466,0.305019,-0.006719
0.547500,-0.001638,0.002698,-0.002713,0.008708,-0.027572,-9.773586,-0.023049,0.011207
0.550000,-0.000486,0.000743,0.001877,-0.013484,0.011734,-9.790997,0.005397,0.016673
0.552500,0.000652,0.001600,-0.001420,-0.015937,-0.017135,-9.806075,-0.028629,-0.000816
0.555000,0.000492,0.002184,0.002578,-0.004757,-0.053342,-9.814581,-0.038040,0.015575
0.557500,-0.002585,0.003627,-0.004801,-0.049171,-0.017260,-9.810524,-0.172089,-0.005763
0.560000,0.000282,-0.001704,-0.001316,0.006894,-0.015761,-9.814470,-0.082233,-0.021536
0.562500,0.000619,0.000273,0.001531,-0.029653,-0.030477,-9.804664,-0.064266,-0.008893
0.565000,0.006205,0.005747,0.001280,0.028545,0.000496,-9.837660,0.175107,-0.001004
0.567500,0.004642,0.001830,-0.000465,-0.040403,0.001767,-9.806122,-0.141387,0.006805
0.570000,-0.002019,0.005477,0.000776,0.008723,-0.010197,-9.777275,0.008307,0.011444
0.572500,-0.000638,0.009034,0.000418,-0.046993,-0.009522,-9.805943,0.072951,-0.001520
0.575000,-0.003508,0.000549,-0.003557,-0.015237,0.016001,-9.807933,0.022434,0.013649
0.577500,-0.001378,-0.001172,-0.000811,0.009334,-0.032603,-9.847141,-0.121729,-0.013310
0.580000,0.000834,0.001101,0.000631,0.021650,0.028665,-9.839849,-0.014443,0.013084
0.582500,0.003006,0.004431,0.001312,0.020461,-0.015031,-9.837296,-0.302151,0.000899
0.585000,-0.001715,0.004772,-0.000082,0.016220,-0.008501,-9.815018,0.113343,-0.000315
0.587500,-0.001532,0.007293,-0.001269,0.018838,-0.022174,-9.816165,0.048383,-0.005348
0.590000,-0.005175,0.001659,-0.003178,0.020833,-0.028071,-9.818704,-0.122056,-0.011494
0.592500,-0.000332,0.002940,0.001915,-0.013358,0.024098,-9.805604,0.114084,-0.013950
0.595000,-0.002527,0.000012,0.001647,-0.009163,-0.019797,-9.779481,-0.024247,0.001077
0.597500,-0.001226,-0.004368,0.002488,0.015803,0.012292,-9.791782,0.036693,-0.001112
0.600000,-0.002074,0.001652,-0.002552,0.025655,0.009687,-9.767836,0.002416,-0.006126
0.602500,-0.000164,-0.001066,0.000377,-0.003991,-0.005962,-9.844849,-0.045226,-0.008559
0.605000,-0.004222,0.003319,-0.001609,-0.013142,0.026603,-9.801454,-0.076422,-0.005346
0.607500,-0.003513,-0.002841,0.000193,-0.013932,0.002377,-9.813371,0.138171,0.020964
0.610000,0.005262,-0.000055,0.007173,-0.020126,-0.051889,-9.791907,-0.014021,-0.014284
0.612500,-0.003074,0.002402,0.002286,0.010483,-0.015262,-9.823691,-0.067622,-0.016461
0.615000,-0.002609,0.002658,-0.001763,0.026138,0.065927,-9.803782,-0.032712,-0.008164
0.617500,0.004550,0.001633,-0.000535,0.010837,0.001115,-9.817925,0.035050,0.003821
0.620000,0.007157,0.006305,-0.000802,-0.001039,-0.001944,-9.796757,0.019184,-0.006002
0.622500,-0.002790,0.005579,0.000384,0.044651,0.024198,-9.777447,0.099526,0.002665
0.625000,-0.000830,0.000079,-0.003636,-0.000441,0.034500,-9.854320,0.045082,0.003477
0.627500,0.000902,0.005676,0.000873,0.032319,-0.022410,-9.816249,0.018857,0.007706
0.630000,0.004287,0.006049,-0.005084,-0.025916,0.000442,-9.766278,0.043317,0.003489
0.632500,-0.002338,0.001447,-0.003998,0.004926,-0.000033,-9.783414,0.073734,-0.000257
0.635000,-0.000529,0.001860,0.004968,-0.023348,-0.034584,-9.793324,-0.159041,0.013534
0.637500,0.001967,0.001625,-0.000796,-0.021883,-0.005005,-9.827036,-0.040026,-0.012876
0.640000,0.001131,0.000175,0.003564,-0.019211,0.005217,-9.824279,-0.151203,-0.016330
0.642500,-0.000847,0.000418,-0.001892,0.001441,-0.004764,-9.803522,-0.088939,-0.003448
0.645000,-0.000256,0.004968,-0.005043,-0.010952,0.048150,-9.809641,-0.020250,0.000896
0.647500,-0.003284,0.002816,-0.002478,-0.048874,0.018596,-9.834066,-0.025303,0.002510
0.650000,-0.000510,0.000397,0.006644,-0.010290,0.008177,-9.818039,-0.046933,-0.001889
0.652500,-0.000578,-0.000510,-0.003356,-0.014772,0.000740,-9.749911,-0.051710,0.004937
0.655000,0.000638,-0.000101,0.004421,-0.041276,0.018140,-9.797003,-0.136823,0.000881
0.657500,-0.001283,0.001349,0.000929,0.010684,-0.005559,-9.843199,-0.102479,-0.001829
0.660000,0.001223,0.003977,0.000379,0.015698,-0.037197,-9.766942,-0.220739,0.004585
0.662500,0.002544,-0.000350,-0.001739,0.014554,-0.029435,-9.820772,-0.074187,-0.007405
0.665000,0.000452,0.003949,-0.002111,0.040196,0.006028,-9.763283,-0.026289,-0.001101
0.667500,0.000932,0.002230,0.001464,-0.026480,0.030610,-9.784333,-0.025931,0.017303
0.670000,0.000203,0.002098,0.003307,-0.025899,-0.010402,-9.875788,0.084644,-0.000365
0.672500,0.000074,0.004252,0.000568,-0.000812,0.021757,-9.855906,0.099407,0.015756
0.675000,-0.001686,0.003807,0.001894,-0.002810,0.010892,-9.807288,-0.039416,0.012371
0.677500,0.000847,-0.001678,-0.000949,0.003152,0.028046,-9.795903,-0.051308,0.010690
0.680000,-0.000163,-0.000896,0.005392,0.019729,-0.026753,-9.792265,0.170919,-0.003723
0.682500,0.005182,0.001189,0.000672,-0.006038,-0.027568,-9.782875,-0.009821,-0.005273
0.685000,0.003914,0.002618,0.005051,0.024375,0.042534,-9.810903,-0.044829,0.000971
0.687500,0.001017,0.005079,-0.002264,-0.018203,-0.041494,-9.841607,0.024306,-0.005973
0.690000,-0.001786,0.001908,-0.000019,-0.011965,0.009152,-9.815827,0.105025,0.004917
0.692500,-0.002638,0.005906,0.002706,-0.026222,0.037940,-9.852239,0.063175,0.006206
0.695000,0.002983,0.000025,0.000438,-0.080511,0.010134,-9.815009,0.045014,0.011385
0.697500,0.000718,0.000437,0.001355,-0.041304,0.034202,-9.778169,-0.009409,-0.011827
0.700000,0.001248,0.001003,-0.002293,0.021121,0.032140,-9.771019,-0.046675,-0.013248
